post_code,lat,lng
6035,34.9002535,33.6231723
7104,34.9663094,33.5839983
6018,34.9002535,33.6231723
6052,34.9002535,33.6231723
6025,34.9002535,33.6231723
6041,34.9002535,33.6231723
6056,34.9002535,33.6231723
7102,34.9663094,33.5839983
6031,34.9002535,33.6231723
7100,34.9663094,33.5839983
6016,34.9002535,33.6231723
6037,34.9002535,33.6231723
6057,34.9002535,33.6231723
6045,34.9002535,33.6231723
7101,34.9663094,33.5839983
6059,34.9002535,33.6231723
6021,34.9002535,33.6231723
6053,34.9002535,33.6231723
6030,34.9002535,33.6231723
7103,34.9663094,33.5839983
6040,34.9002535,33.6231723
6046,34.9002535,33.6231723
6036,34.9002535,33.6231723
6013,34.9002535,33.6231723
6015,34.9002535,33.6231723
6012,34.9002535,33.6231723
6050,34.9002535,33.6231723
6020,34.9002535,33.6231723
6011,34.9002535,33.6231723
6047,34.9002535,33.6231723
6017,34.9002535,33.6231723
6026,34.9002535,33.6231723
6010,34.9002535,33.6231723
6058,34.9002535,33.6231723
6023,34.9002535,33.6231723
6022,34.9002535,33.6231723
6027,34.9002535,33.6231723
6042,34.9002535,33.6231723
7105,34.9663094,33.5839983
6055,34.9002535,33.6231723
6051,34.9002535,33.6231723
6043,34.9002535,33.6231723
6028,34.9002535,33.6231723
6060,34.9002535,33.6231723
6019,34.9002535,33.6231723
